UNIDAD;TEMA;AFIRMACION;RESPUESTA
25;ASPECTOS ÉTICOS Y LEGALES;Los convenios de confidencialidad, las normas de conducta comercial, las normas de uso de los sistemas informáticos, etc. son instrumentos ineficaces para aplicar sanciones, en caso de incumplimiento por parte del empleado.;FALSO
25;ASPECTOS ÉTICOS Y LEGALES;Una determinada persona no puede ser separada de la organización con causa excepto cuando haya infringido alguna ley.;FALSO
25;ASPECTOS ÉTICOS Y LEGALES;Una determinada persona puede ser separada de la organización con causa por una conducta no ética, aún cuando no haya infringido ninguna ley ni norma interna de la compañía.;FALSO
25;ASPECTOS ÉTICOS Y LEGALES;Una determinada persona puede ser separada de la organización con causa sólo cuando haya infringido alguna ley o norma interna de la compañía;VERDADERO
25;EMPRENDEDURISMO;El emprendedurismo es una actividad de riesgo bajo si se realiza una buena planificación.;FALSO
25;EMPRENDEDURISMO;El emprendedurismo es una actividad de riesgo y no todas las personas se sienten a gusto con ello.;VERDADERO
25;EMPRENDEDURISMO;En general el 80% de los nuevos emprendimientos sobreviven al año de vida.;FALSO
25;EMPRENDEDURISMO;En general sólo el 10% de los nuevos emprendimientos sobreviven al año de vida.;VERDADERO
25;EMPRENDEDURISMO;Existen múltiples fuentes de financiamiento, incluyendo en algunos países ANR, aportes no reembolsables, otorgados por organismos oficiales como estímulo a la actividad.;VERDADERO
25;EMPRENDEDURISMO;"Las siglas ""3F"" se utilizan para denotar a los Fondos de Inversión de tercera generación.";FALSO
25;EMPRENDEDURISMO;"Los ANR, aportes no reembolsables, son instrumentos de asistencia financiera otorgados por organismos oficiales en algunos países como estímulo a la actividad del ""emprendedor"".";VERDADERO
25;EMPRENDEDURISMO;Muchos proyectos se inician con capital aportado por el círculo cercano al emprendedor: familiares, amigos y personas que creen en él.;VERDADERO
25;EMPRENDEDURISMO;"La sigla ""3F"" se suele utilizar como síntesis de: family, friends and fools.";VERDADERO
26;GREEN IT;Contrariamente a otras incitativas, no hay efectos colaterales o no deseados asociados a Green IT.;VERDADERO
26;GREEN IT;El Green IT también implica otros aspectos como la reducción de los componentes nocivos empleados en la fabricación de productos tecnológicos, la capacidad de biodegradación o reciclaje de los mismos, recogiendo o reutilizando las maquinas obsoletas y fomentando políticas de reciclaje en las empresas.;VERDADERO
26;GREEN IT;Entre los beneficios de Green IT se encuentra el uso eficiente de los recursos computacionales minimizando el impacto ambiental, maximizando su viabilidad económica y asegurando deberes sociales.;VERDADERO
26;GREEN IT;Entre los efectos no deseados de los GREEN IT, se encuentra el hecho que la organización generalmente debe adaptar sus procesos/forma de trabajo a los procesos incluidos dentro del nuevo sistema, o realizar importantes adecuaciones al software.;FALSO
26;GREEN IT;Green IT posibilita una mejora de la eficiencia energética en los sistemas TI.;VERDADERO
26;GREEN IT;Green IT también conocido como Green Computing, es la estrategia del sector ante la situación del calentamiento global o la escasez de energía y su alto costo.;VERDADERO
26;GREEN IT;Green IT también conocido como Green Computing, es un programa diseñado para difundir los perjuicios del calentamiento global.;FALSO
26;GREEN IT;GREEN IT tiene como principal objetivo especificar los niveles de servicio compatibles con los estándares de contaminación ambiental.;FALSO
26;RSE Y TIC;A diferencia de otras acciones empresariales, el uso de las TIC rara vez pueda apalancar acciones cuya finalidad se encuadre dentro de la RSE.;FALSO
26;RSE Y TIC;A través de RSE las organizaciones ayudan a preservar los recursos ambientales y culturales, respetan la diversidad y promueven la reducción de las desigualdades sociales.;VERDADERO
26;RSE Y TIC;Como muchas otras acciones empresariales, el uso de las TIC puede apalancar e incluso iniciar acciones cuya finalidad se encuadre dentro de la RSE.;VERDADERO
26;RSE Y TIC;El problema de la Brecha Digital es de naturaleza estructural, y las empresas no deberían destinar recursos a su minimización, tarea esta exclusiva de entes gubernamentales.;FALSO
26;RSE Y TIC;Iniciativas de Virtualización, Teletrabajo y Desecho apropiado de Residuos Electrónicos, pueden fortalecer las acciones de RSE, y a su vez tener impactos positivos en variables de desempeño organizacional.;VERDADERO
26;RSE Y TIC;Iniciativas de Virtualización, Teletrabajo, desecho apropiado de residuos electrónicos, Gestión responsable del Cambio Organizacional, etc. pueden fortalecer las acciones de RSE, aunque normalmente implican mayores costos.;FALSO
26;RSE Y TIC;Iniciativas tendientes a reducir la Brecha Digital y la Gestión responsable del Cambio Organizacional, pueden fortalecer las acciones de RSE, y a su vez tener impactos positivos en variables de desempeño organizacional.;VERDADERO
26;RSE Y TIC;RSE es una forma de gestión que se define por la relación ética de la empresa y el establecimiento de metas empresariales compatibles con el desarrollo sostenible de la sociedad.;VERDADERO
27;ECOSISTEMA TIC;ADVA, la Asociación de Desarrolladores de Videojuegos Argentina es una entidad sin fines de lucro compuesta por empresas dedicadas a la creación de videojuegos.;VERDADERO
27;ECOSISTEMA TIC;CABASE, la Cámara Argentina de Internet reúne a empresas usuarias y emprendedoras del comercio y los negocios por Internet y tiene como objeto lograr que la Economía Digital se constituya en una eficaz herramienta para el desarrollo social y económico de la República Argentina y sus economías regionales.;FALSO
27;ECOSISTEMA TIC;CABASE, la Cámara Argentina de Internet reúne a las empresas proveedoras de Servicios de Acceso a Internet, Telefonía, Soluciones de Datacenter y contenidos Online, entre otras.;VERDADERO
27;ECOSISTEMA TIC;CADIEEL, la Cámara Argentina de Industrias Electrónicas, Electromecánicas y Luminotécnica representa a más de 3000 empresas de la industria electro-electrónica que emplean a más de treinta mil personas y facturan anualmente más de 3000 millones de dólares.;VERDADERO
27;ECOSISTEMA TIC;CESSI es la Cámara de Informática y Comunicaciones de la República Argentina, nuclea compañías de diferentes perfiles, pequeñas, medianas y grandes, de origen nacional y extranjero.;FALSO
27;ECOSISTEMA TIC;La Cámara de Empresas de Software y Servicios Informáticos, CICOMRA, organización sin fines de lucro, nuclea a grandes, medianos, pequeñas empresas y entidades regionales del sector informático, dedicadas al desarrollo, producción, comercialización e implementación de software y todas las variantes de servicios.;FALSO

